SCHOOL NAME,avg_class_size,avg_largest_class,avg_smallest_class,DBN
P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,23,23,23,06M210
City College Academy of the Arts,23.635714285714286,27.571428571428573,18.785714285714285,06M293
M.S. 324 - Patria Mirabal,19,22,17,06M324
M.S. 326 - Writers Today & Leaders Tomorrow,26,26,26,06M326
M.S. 328 - Manhattan Middle School for Scientific Inquiry,24.9,29,21,06M328
Community Health Academy of the Heights,27.069230769230767,31.384615384615383,22.76923076923077,06M346
Washington Heights Expeditionary Learning School,28.06,31.5,23.7,06M348
High School for Excellence and Innovation,17,18,16,06M423
High School for International Business and Finance,26.0375,30.5,20.5625,06M462
High School for Media and Communications,23.36875,28.6875,17.5625,06M463
High School for Law and Public Service,24.96666666666667,31,19.055555555555557,06M467
High School for Health Careers and Sciences,27.63125,31.3125,22.4375,06M468
I.S. 528 Bea Fuller Rodgers School,29.9,31,28.5,06M528
A. Philip Randolph Campus High School,30.042105263157893,32.68421052631579,23.842105263157894,06M540
Gregorio Luperon High School for Science and Mathematics,25.430769230769233,29.53846153846154,20.846153846153847,06M552
J.H.S. 162 Lola Rodriguez De Tio,30,30,30,07X162
M.S. 203,15,15,15,07X203
South Bronx Preparatory: A College Board School,21.386666666666667,25.266666666666666,17.333333333333332,07X221
M.S. 223 The Laboratory School of Finance and Technology,29,29,29,07X223
Academy of Public Relations,21.4,27,15,07X298
Crotona Academy High School,18.141666666666666,22,14.75,07X321
International Community High School,16.2,19.5,12.357142857142858,07X334
Jill Chaifetz Transfer High School,23.815384615384616,25.615384615384617,21.846153846153847,07X379
Community School for Social Justice,22.64375,24.5,19.875,07X427
Mott Haven Village Preparatory High School,24.34285714285714,27,21.357142857142858,07X473
University Heights Secondary School,26.885714285714286,30.142857142857142,22.071428571428573,07X495
Hostos-Lincoln Academy of Science,21.355555555555554,24.166666666666668,18.77777777777778,07X500
Foreign Language Academy of Global Studies,23.2125,27,19.3125,07X520
Bronx Leadership Academy II High School,24.406666666666666,27.2,20.4,07X527
New Explorers High School,24.154545454545456,25.727272727272727,22.181818181818183,07X547
Urban Assembly School for Careers in Sports,25.538888888888888,28.27777777777778,22.666666666666668,07X548
