DBN,Name,frl_percent,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,total_enrollment
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,70.3,0.5,11.1,1,93.5,4,0.5,45.7,54.3,199
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,80.9,91,1,28.4,29.2,27.9,14.2,59.1,40.9,401
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,68.7,5.2,13.4,1.5,89.2,7.3,1.5,50.1,49.9,343
17K531,THE SCHOOL FOR HUMAN RIGHTS,73.2,6.2,15,0.8,88.9,8.3,1.6,51.6,48.4,386
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,68.3,3.7,14.5,0.5,89.4,8.4,1.5,52,48,406
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT,60.9,9.1,15.8,1,87.3,9.1,1,61.6,38.4,385
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,65.3,8.8,19.2,2.1,87,9,1.7,63.3,36.7,422
17K543,SCI TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH,63.3,0,2.3,3.1,83.9,9.4,1.3,53,47,521
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,69.3,7.9,17.4,0.8,86.9,10,1.3,47.9,52.1,390
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORR,70.3,0.5,4.1,3.6,82.5,12.2,0.7,24.9,75.1,417
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,80.9,6.8,11.9,4,79.6,14.2,1.5,54.4,45.6,471
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,60.5,0.5,12.1,1,82.8,15.3,1,32.8,67.2,412
